iteration,best_risk_so_far,mean_strength,mean_onset,sigma_strength,sigma_onset,reinflated
0,0.5792412459614921,1.0060121276404959,0.35975964544820715,0.110043313031792,0.0903437144556772,False
1,0.5726097127218907,1.059827366904136,0.3855336104284901,0.10800000000000001,0.048,False
2,0.5726097127218907,1.0157697102766163,0.3826274797989727,0.10800000000000001,0.048,False
3,0.5559588908662902,0.9548092990971881,0.3750513888439782,0.10800000000000001,0.048,False
4,0.5559588908662902,0.9944743234920326,0.39516344233742884,0.10800000000000001,0.08042970474669198,False
5,0.5559588908662902,1.0186775280183937,0.3713603823744245,0.10800000000000001,0.07942370818397904,False
6,0.5559588908662902,1.034632353696033,0.3435632897182166,0.10800000000000001,0.048,False
7,0.5559588908662902,1.0211958030851918,0.3149315822253271,0.19028218591168414,0.048,False
8,0.5559588908662902,0.9869213334344328,0.320684856746306,0.10800000000000001,0.061763445913523035,False
9,0.5559588908662902,0.9149390008355496,0.3727664770213265,0.405,0.18,True
10,0.5128472140243063,0.9003447901473494,0.3056336383291932,0.5456733687936519,0.13895120172373146,False
11,0.5128472140243063,0.4962884040313661,0.2986159655499544,0.24284766716334324,0.10734789290910995,False
12,0.499214104311453,0.38253428714870585,0.23107687951606307,0.23538904023708268,0.07806634637375874,False
13,0.499214104311453,0.21698561363362934,0.17563584013311542,0.10800000000000001,0.0642471890379735,False
14,0.4976774425181069,0.2581169550302777,0.22567441935422583,0.10800000000000001,0.0681052082819207,False
15,0.4471703312275375,0.2182527749118422,0.22551765386820855,0.10800000000000001,0.048,False
16,0.402372896270205,0.23191421757088024,0.21581712138721681,0.10800000000000001,0.048,False
17,0.402372896270205,0.26704692559528537,0.25118339535761564,0.10800000000000001,0.048,False
18,0.402372896270205,0.2557157633775615,0.23755751951314022,0.12223508320709306,0.048361419263113124,False
19,0.402372896270205,0.16296314449039426,0.2181239413409095,0.10800000000000001,0.0568193810775385,False
20,0.402372896270205,0.2041699778135121,0.1598731997715395,0.10800000000000001,0.04983987630428031,False
21,0.402372896270205,0.23223321060984903,0.16158869636910936,0.10800000000000001,0.048,False
22,0.402372896270205,0.15,0.18290826239390967,0.405,0.18,True
23,0.3972396690768766,0.1941312074296859,0.10726015392364088,0.10800000000000001,0.048,False
24,0.3972396690768766,0.21850352531413023,0.13254826328000818,0.10800000000000001,0.048,False
25,0.3972396690768766,0.18211656399027867,0.16413921317228783,0.10800000000000001,0.048,False
26,0.3635492298958063,0.16156770230081557,0.18655055213859584,0.10800000000000001,0.048,False
27,0.3635492298958063,0.16154134590809127,0.20035979695008416,0.10800000000000001,0.048,False
28,0.3635492298958063,0.1719194107445377,0.1990995225726836,0.10800000000000001,0.055646050343881565,False
29,0.3635492298958063,0.1974834622848451,0.15948998230836367,0.10800000000000001,0.048,False
30,0.34904150605004575,0.22067123036897937,0.1502413814707201,0.10800000000000001,0.048,False
31,0.34904150605004575,0.2365674991187105,0.14516547337555924,0.10800000000000001,0.048,False
32,0.34904150605004575,0.15844723998485216,0.13282218544363958,0.10800000000000001,0.048,False
33,0.34904150605004575,0.16909282521249502,0.1307209153902904,0.10800000000000001,0.048,False
34,0.34904150605004575,0.20631115580370032,0.15574579052050952,0.10800000000000001,0.048,False
35,0.34904150605004575,0.27428129981830685,0.16373047679806008,0.10800000000000001,0.048,False
36,0.34904150605004575,0.15,0.18079299235875268,0.405,0.18,True
37,0.34904150605004575,0.1925479543343018,0.15223001277474654,0.10800000000000001,0.06011749808246724,False
38,0.34904150605004575,0.24417712709236028,0.16120016359988118,0.10800000000000001,0.06334697339420517,False
39,0.34904150605004575,0.23074716460074193,0.14124458459096176,0.10800000000000001,0.048,False
40,0.3144569236904068,0.19055010378824566,0.1504552748338172,0.10800000000000001,0.048,False
41,0.3144569236904068,0.161452768467987,0.14452928542753518,0.10800000000000001,0.048,False
42,0.3144569236904068,0.2002896155247982,0.18857375624692643,0.10800000000000001,0.05635740779592288,False
43,0.3144569236904068,0.18211372255177885,0.17422974054009313,0.10800000000000001,0.048,False
44,0.3144569236904068,0.16363728564388694,0.11502967678683212,0.10800000000000001,0.048,False
45,0.3144569236904068,0.18010025895753526,0.12339058605602793,0.10800000000000001,0.048,False
46,0.3144569236904068,0.20362808509275537,0.1,0.405,0.18,True
47,0.3144569236904068,0.17028322965158407,0.17321533384023707,0.10800000000000001,0.08063098022609315,False
48,0.3144569236904068,0.18838568571794828,0.16406011642074997,0.10800000000000001,0.048,False
49,0.3144569236904068,0.21307068313652566,0.1457498116742024,0.10800000000000001,0.048,False
50,0.3144569236904068,0.284631054573225,0.16722430935740631,0.14511257023593938,0.048,False
51,0.3144569236904068,0.1992373747715175,0.19777593313009778,0.10800000000000001,0.048,False
52,0.3144569236904068,0.20362808509275537,0.1,0.405,0.18,True
53,0.3144569236904068,0.2656929972099065,0.18563083580233755,0.12936009857033395,0.1483169583042367,False
54,0.3144569236904068,0.18370536182704403,0.18673347144005348,0.10800000000000001,0.048,False
55,0.3144569236904068,0.18027459821679664,0.23160423686823578,0.10800000000000001,0.054287584139112825,False
56,0.3144569236904068,0.18642032761729244,0.22741813498667524,0.10800000000000001,0.048,False
57,0.3144569236904068,0.1828368406522472,0.19790884855174512,0.10800000000000001,0.05624398641403976,False
58,0.3144569236904068,0.20362808509275537,0.1,0.405,0.18,True
59,0.3144569236904068,0.15,0.16780432936991652,0.10800000000000001,0.078961026312558,False
