iteration,best_risk_so_far,mean_strength,mean_onset,sigma_strength,sigma_onset,reinflated
0,0.5063564347544816,0.9967932895305903,0.47377005085677504,0.10800000000000001,0.1396442339619846,False
1,0.44704919532959875,0.9769282703598189,0.5256725778970839,0.10800000000000001,0.04893921800961533,False
2,0.44704919532959875,1.0263852235880302,0.5245831722656855,0.10800000000000001,0.048,False
3,0.44704919532959875,1.035116046082602,0.5025055495260748,0.10800000000000001,0.048,False
4,0.4389009783438454,0.9193251555009923,0.509985775660601,0.10800000000000001,0.048,False
5,0.4389009783438454,1.026909579149336,0.4984271680134216,0.10800000000000001,0.048,False
6,0.4389009783438454,1.0063340176272142,0.494373604262037,0.10800000000000001,0.048,False
7,0.43031633373172673,0.9901230580690936,0.4577054571753308,0.15900311994716212,0.048,False
8,0.43031633373172673,0.9695141650094898,0.47942157337156344,0.11499431672362831,0.048373053699354226,False
9,0.43031633373172673,1.031239805558502,0.48804765756846014,0.10800000000000001,0.048,False
10,0.36703003514281146,1.146717293428312,0.4834526139298543,0.10918239597323944,0.0550334502214626,False
11,0.36703003514281146,1.2116393962978935,0.501727541662299,0.10800000000000001,0.04892687034845061,False
12,0.36703003514281146,1.2146127607041979,0.5181090693319667,0.10800000000000001,0.048,False
13,0.36703003514281146,1.1559022319100432,0.5301729447178319,0.10800000000000001,0.048,False
14,0.36703003514281146,1.113746313440159,0.49156739479326117,0.11235297414215918,0.048,False
15,0.36703003514281146,0.9805338842028872,0.4996734589952373,0.13418443341555675,0.048,False
16,0.36703003514281146,1.2057904511768323,0.38901222028183247,0.405,0.18,True
17,0.36703003514281146,0.9171901242051109,0.3471817656244841,0.2583130421961546,0.07972050624346526,False
18,0.36703003514281146,0.6852434368017221,0.3121296821631556,0.2740950502533678,0.05991060578886534,False
19,0.36703003514281146,0.6539387853156331,0.28098240771897404,0.18200579037969536,0.05331629632850187,False
20,0.3327444372425399,0.6289678556438578,0.2755867532768799,0.24049860685307925,0.048,False
21,0.3327444372425399,0.6003647379034964,0.23381403592753325,0.1889645314079588,0.048,False
22,0.3327444372425399,0.46178307739836105,0.2608460336598968,0.10800000000000001,0.048,False
23,0.3327444372425399,0.4382112702633194,0.21144200936355162,0.10800000000000001,0.05599258574078728,False
24,0.3327444372425399,0.3543411664365222,0.23563346224039866,0.10800000000000001,0.048,False
25,0.3327444372425399,0.3684893805416918,0.20768414578352848,0.10800000000000001,0.058337600112837534,False
26,0.3327444372425399,0.4957671540907044,0.290440511534482,0.405,0.18,True
27,0.3327444372425399,0.2710629420363795,0.2249948549463778,0.12869788405993357,0.0783807916545987,False
28,0.3327444372425399,0.28856841212707396,0.18712959025718623,0.10879340554030285,0.11728480387612893,False
29,0.3327444372425399,0.2835656023056668,0.2424271301505965,0.10800000000000001,0.06503069594505635,False
30,0.3327444372425399,0.35448232925863143,0.25658871337333666,0.10800000000000001,0.048,False
31,0.3327444372425399,0.33413774589080775,0.28242358122962874,0.10800000000000001,0.048,False
32,0.3327444372425399,0.4957671540907044,0.290440511534482,0.405,0.18,True
33,0.3327444372425399,0.3111571277157741,0.38305652094040304,0.1142008063330771,0.18632764956586575,False
34,0.3327444372425399,0.31767659806141585,0.33227577500506933,0.10800000000000001,0.12129301540246894,False
35,0.3327444372425399,0.2556237927588367,0.32882490430249456,0.10800000000000001,0.1580866854910223,False
36,0.3327444372425399,0.21040859116471042,0.21773195196834047,0.10800000000000001,0.1233653934618258,False
37,0.3327444372425399,0.17489622102964067,0.10973374621892501,0.10800000000000001,0.048,False
38,0.3327444372425399,0.4957671540907044,0.290440511534482,0.405,0.18,True
39,0.3327444372425399,0.41276022614973207,0.32659269587530265,0.22920978174262963,0.04896722578249815,False
40,0.3327444372425399,0.5399980214095554,0.3144778241712428,0.26997027888329433,0.05983306786289761,False
41,0.3327444372425399,0.6617667381743637,0.2906131931771764,0.3604020494162245,0.04931271615624884,False
42,0.2796285596057774,0.3699368080736489,0.31992833972125734,0.15806887382563525,0.05475086657068247,False
43,0.2796285596057774,0.44123162276603217,0.2982064929223091,0.10800000000000001,0.048,False
44,0.2796285596057774,0.4105458610545454,0.32348134376691307,0.10800000000000001,0.048,False
45,0.2796285596057774,0.41238607071555233,0.31282192568564543,0.1202401879814849,0.048,False
46,0.2796285596057774,0.45862466831045134,0.2530098420585053,0.11968735888926421,0.048,False
47,0.2796285596057774,0.4711869801865964,0.26097399041206887,0.1858662713890509,0.048,False
48,0.2796285596057774,0.5261791249556138,0.2656064544220835,0.405,0.18,True
49,0.2796285596057774,0.35875805889019025,0.19123934290938582,0.2232106222765998,0.09474703835632628,False
50,0.2796285596057774,0.5194924909729173,0.18919852420735203,0.31032913924211364,0.09516143775917674,False
51,0.2796285596057774,0.3370499950478545,0.2270038964715984,0.21927318860636502,0.05944544146621553,False
52,0.2796285596057774,0.20851226241324203,0.18727778743822385,0.10800000000000001,0.048,False
53,0.2796285596057774,0.21392794908388924,0.19459635049733595,0.10800000000000001,0.08480353553722748,False
54,0.2796285596057774,0.5261791249556138,0.2656064544220835,0.405,0.18,True
55,0.2796285596057774,0.3562246749145541,0.19315162760804314,0.29154970266371366,0.0811097606786061,False
56,0.2796285596057774,0.3903009243377569,0.20866171928516988,0.10800000000000001,0.048,False
57,0.2796285596057774,0.36751757343087377,0.17709315375656026,0.10800000000000001,0.048,False
58,0.2796285596057774,0.28517386183512594,0.14708399308780504,0.10800000000000001,0.048,False
59,0.2796285596057774,0.2677670310221494,0.13419700313484056,0.10800000000000001,0.048,False
