split,model,AUROC,AUPRC,F1,FAR,seed
known (val),XGBoost,0.6359659722222222,0.857137171576756,0.8387785038005068,0.7,42
known (val),RandomForest,0.6950722222222222,0.8897961514325333,0.8430637386181039,0.995,42
known (val),LogisticRegression,0.7042527777777777,0.8907376985168003,0.8368386675375572,0.8,42
known (val),SVM,0.7019069444444446,0.8858458059005537,0.8044048243314106,0.9,42
known (val),LSTM,0.7741402777777777,0.9265217498222792,0.7622118329840399,0.9,42
known (val),GRU,0.8197619212962962,0.9432389961326548,0.8201802941641626,0.9008333333333334,42
known (val),TemporalCNN,0.7006747685185186,0.8935874426223864,0.7974947807933194,0.7116666666666667,42
known (val),IsolationForest,0.477337962962963,0.7785805895686775,0.3504594820384294,1.0,42
known (val),OneClassSVM,0.4733333333333333,0.7507287419919584,0.4888888888888889,0.9,42
known (val),Autoencoder,0.7237664351851852,0.9096939952247128,0.0466630493760173,0.9841666666666666,42
known (val),QuantumKernel,0.542937062937063,0.8196071870925833,0.8733031674208145,0.9272727272727272,42
known (val),VQC,0.5338927738927739,0.7866461388403203,0.7085714285714285,0.9454545454545454,42
known (val),Q-TRACE,0.6108275462962963,0.8503151490072871,0.1037661311561759,0.9225,42
zero_day,XGBoost,0.449808912037037,0.720889243013547,0.8161094224924013,0.905,42
zero_day,RandomForest,0.6277928240740741,0.8249978370467962,0.8233316088980859,1.0,42
zero_day,LogisticRegression,0.5602363425925926,0.8230590198448158,0.7647534357316087,0.9991666666666666,42
zero_day,SVM,0.6105925925925926,0.8166502993326888,0.873525307624001,0.7,42
zero_day,LSTM,0.512521875,0.7690692127478432,0.699578567128236,0.9,42
zero_day,GRU,0.5558166666666667,0.7789168299217067,0.7297853572478683,0.87,42
zero_day,TemporalCNN,0.4861849537037037,0.773086259068313,0.7628694324961842,0.9958333333333332,42
zero_day,IsolationForest,0.581374074074074,0.8303931612916426,0.5151395988989382,0.9808333333333332,42
zero_day,OneClassSVM,0.41,0.7451039199279788,0.4,1.0,42
zero_day,Autoencoder,0.7010149305555555,0.8908675643005568,0.0121479845389287,0.9608333333333332,42
zero_day,QuantumKernel,0.5462937062937062,0.8231226445082677,0.8662131519274376,0.9454545454545454,42
zero_day,VQC,0.3782284382284382,0.6902003698125969,0.6966292134831461,0.9454545454545454,42
zero_day,Q-TRACE,0.7523486111111111,0.9003247509417023,0.0386815581585399,0.85,42
physical_shift,XGBoost,0.6899424768518518,0.8954274313211362,0.801854869031207,1.0,42
physical_shift,RandomForest,0.4322162037037037,0.717197802460845,0.8571428571428571,0.8,42
physical_shift,LogisticRegression,0.5941106481481482,0.8592405721987527,0.3232417326502096,0.9983333333333332,42
physical_shift,SVM,0.4936837962962963,0.7988525596538291,0.8405797101449275,1.0,42
physical_shift,LSTM,0.6331648148148148,0.8748359514450331,0.7568157033805889,0.9,42
physical_shift,GRU,0.5467331018518519,0.7911467522764636,0.6837294332723949,0.9991666666666666,42
physical_shift,TemporalCNN,0.6916293981481481,0.8942164967371348,0.4700382490437739,0.9725,42
physical_shift,IsolationForest,0.669600462962963,0.871297889670703,0.648630594522378,0.86,42
physical_shift,OneClassSVM,0.41,0.7333763582370689,0.3333333333333333,1.0,42
physical_shift,Autoencoder,0.7599418981481482,0.9194554102121776,0.0349344978165938,0.8166666666666667,42
physical_shift,QuantumKernel,0.4648018648018648,0.8116799469488635,0.8662131519274376,1.0,42
physical_shift,VQC,0.4178554778554779,0.7963822586508367,0.5784615384615385,1.0,42
physical_shift,Q-TRACE,0.7135122685185185,0.8875124458719937,0.061389337641357,0.795,42
compositional,XGBoost,0.6186352430555556,0.8722273719062454,0.8229051957152869,1.0,42
compositional,RandomForest,0.6717614583333333,0.9099433749205056,0.8259958071278826,1.0,42
compositional,LogisticRegression,0.7932432291666667,0.9486093747720696,0.8679623321979564,0.8441666666666666,42
compositional,SVM,0.5563986111111112,0.8686734608178648,0.8397790055248618,0.9,42
compositional,LSTM,0.7814507812499999,0.9243128713903216,0.8733569789276028,0.7008333333333333,42
compositional,GRU,0.6390190972222222,0.8679618615293608,0.8216458533461415,0.9983333333333332,42
compositional,TemporalCNN,0.7734045138888888,0.940019913956908,0.8488621287886519,0.8,42
compositional,IsolationForest,0.8636380208333333,0.965385925316531,0.6501687289088864,0.6416666666666667,42
compositional,OneClassSVM,0.5525,0.8006874746660241,0.4642857142857143,0.9,42
compositional,Autoencoder,0.8100998263888888,0.9524491847016668,0.0185758513931888,0.8133333333333334,42
compositional,QuantumKernel,0.4215578111209179,0.8168670673502896,0.8764044943820225,1.0,42
compositional,VQC,0.4704324801412179,0.8162163598077058,0.6376811594202898,0.8636363636363636,42
compositional,Q-TRACE,0.8072968749999999,0.9413167989135672,0.0396160914845823,0.8275,42
known (val),XGBoost,0.7412432870370371,0.8954308689333612,0.8652843458227234,0.8616666666666667,43
known (val),RandomForest,0.7652636574074074,0.9117387342319322,0.8301693175987686,0.9991666666666666,43
known (val),LogisticRegression,0.6381902777777778,0.8730199952434999,0.7706855791962175,0.9983333333333332,43
known (val),SVM,0.5081043981481481,0.7878714159208595,0.7513007284079084,1.0,43
known (val),LSTM,0.6309077546296296,0.8588280812042338,0.7612720848056537,0.9983333333333332,43
known (val),GRU,0.5977751157407407,0.8186625523853328,0.7561478225030911,0.9908333333333332,43
known (val),TemporalCNN,0.6579262731481481,0.8710845748856352,0.8069815195071869,0.9,43
known (val),IsolationForest,0.7649972222222221,0.9107218718743632,0.471662067501592,0.6725,43
known (val),OneClassSVM,0.5533333333333333,0.7938777165322639,0.5957446808510638,0.9,43
known (val),Autoencoder,0.7108648148148149,0.8970761666112878,0.0856155277851635,0.8808333333333334,43
known (val),QuantumKernel,0.3472261072261072,0.7447038581352861,0.8610478359908884,0.9818181818181818,43
known (val),VQC,0.4137062937062937,0.734787338051986,0.5907692307692308,0.9272727272727272,43
known (val),Q-TRACE,0.7680085648148147,0.9195462062690792,0.1376099327470253,0.8883333333333333,43
zero_day,XGBoost,0.4312722222222221,0.7419930869363256,0.8325428675665816,1.0,43
zero_day,RandomForest,0.4170083333333332,0.663509706989864,0.8588235294117647,0.8,43
zero_day,LogisticRegression,0.5931960648148149,0.8410419474824242,0.8273657289002557,0.9,43
zero_day,SVM,0.4513104166666666,0.7665682649525938,0.7811071609954292,1.0,43
zero_day,LSTM,0.6113178240740742,0.8274546848396098,0.6937159821870361,0.9183333333333332,43
zero_day,GRU,0.6225979166666666,0.8214486072085803,0.7877744296168747,0.7425,43
zero_day,TemporalCNN,0.634015162037037,0.8442297757371318,0.7634276342763427,0.8975,43
zero_day,IsolationForest,0.6859442129629629,0.8896288434400481,0.3743508692707157,0.9991666666666666,43
zero_day,OneClassSVM,0.5533333333333333,0.7972791171664335,0.4390243902439024,1.0,43
zero_day,Autoencoder,0.6104462962962963,0.8263705218370136,0.0317113176599234,0.9008333333333334,43
zero_day,QuantumKernel,0.4447552447552448,0.7190139707649756,0.8764044943820225,0.9272727272727272,43
zero_day,VQC,0.464009324009324,0.7630142711407847,0.5723684210526315,1.0,43
zero_day,Q-TRACE,0.6764807870370371,0.8565286341339561,0.0492957746478873,0.8275,43
physical_shift,XGBoost,0.6380491898148148,0.8454457308701218,0.6755052546483428,0.9991666666666666,43
physical_shift,RandomForest,0.6083402777777778,0.857407140471498,0.6761399125546533,0.9966666666666668,43
physical_shift,LogisticRegression,0.7744613425925926,0.920242495873163,0.613785136696188,0.8883333333333333,43
physical_shift,SVM,0.6737775462962963,0.8576787182829102,0.5512167515563101,0.6,43
physical_shift,LSTM,0.8358787037037037,0.943513363950546,0.4877126654064272,0.6566666666666666,43
physical_shift,GRU,0.7295407407407408,0.9115287949123738,0.4745762711864407,0.9991666666666666,43
physical_shift,TemporalCNN,0.8362368055555556,0.9426154772795808,0.661474370585039,0.7025,43
physical_shift,IsolationForest,0.6488909722222223,0.8649127049686323,0.7201248049921997,0.9933333333333332,43
physical_shift,OneClassSVM,0.6333333333333333,0.8653481673823107,0.5777777777777777,1.0,43
physical_shift,Autoencoder,0.7446601851851852,0.9143409181293356,0.1122181436811746,0.8791666666666667,43
physical_shift,QuantumKernel,0.4496969696969696,0.7468065686883839,0.805,0.8909090909090909,43
physical_shift,VQC,0.7017715617715619,0.9041954262721764,0.6283783783783784,0.9818181818181818,43
physical_shift,Q-TRACE,0.5606631944444445,0.8249086709580427,0.111227701993704,0.99,43
compositional,XGBoost,0.6240815104166667,0.8242120449969257,0.888630415818552,0.7691666666666667,43
compositional,RandomForest,0.7236493055555555,0.902263518491596,0.879914154716613,0.8375,43
compositional,LogisticRegression,0.7259006944444445,0.9244285944519074,0.8583265966046888,0.8916666666666667,43
compositional,SVM,0.6848500000000001,0.9094623991726408,0.880248833592535,0.8,43
compositional,LSTM,0.6231361979166666,0.862706169299652,0.7920393559928444,0.9983333333333332,43
compositional,GRU,0.606765625,0.8251007790280337,0.8251895534962089,0.8991666666666667,43
compositional,TemporalCNN,0.69449296875,0.9083369647291192,0.8653069267908168,0.845,43
compositional,IsolationForest,0.7843822916666667,0.9425609512152996,0.541033434650456,0.745,43
compositional,OneClassSVM,0.3625,0.7357412559716454,0.3461538461538461,0.9,43
compositional,Autoencoder,0.7629874999999999,0.9390266958190244,0.0436111677195842,0.9641666666666666,43
compositional,QuantumKernel,0.5056266548984996,0.8324022209348381,0.8883928571428571,0.9545454545454546,43
