split,model,AUROC,AUPRC,F1,FAR
known (val),XGBoost,0.7412432870370371,0.8954308689333612,0.8652843458227234,0.8616666666666667
known (val),RandomForest,0.7652636574074074,0.9117387342319322,0.8301693175987686,0.9991666666666666
known (val),LogisticRegression,0.6381902777777778,0.8730199952434999,0.7706855791962175,0.9983333333333333
known (val),SVM,0.5081043981481481,0.7878714159208595,0.7513007284079084,1.0
known (val),LSTM,0.6309077546296296,0.8588280812042338,0.7612720848056537,0.9983333333333333
known (val),GRU,0.5977751157407407,0.8186625523853328,0.7561478225030911,0.9908333333333333
known (val),TemporalCNN,0.6579262731481481,0.8710845748856352,0.8069815195071869,0.9
known (val),IsolationForest,0.7649972222222221,0.9107218718743632,0.471662067501592,0.6725
known (val),OneClassSVM,0.5533333333333333,0.7938777165322639,0.5957446808510638,0.9
known (val),Autoencoder,0.7108648148148149,0.8970761666112878,0.08561552778516351,0.8808333333333334
known (val),QuantumKernel,0.34722610722610725,0.7447038581352861,0.8610478359908884,0.9818181818181818
known (val),VQC,0.4137062937062937,0.734787338051986,0.5907692307692308,0.9272727272727272
known (val),Q-TRACE,0.7680085648148147,0.9195462062690793,0.13760993274702535,0.8883333333333333
zero_day,XGBoost,0.43127222222222217,0.7419930869363256,0.8325428675665816,1.0
zero_day,RandomForest,0.41700833333333326,0.663509706989864,0.8588235294117647,0.8
zero_day,LogisticRegression,0.5931960648148149,0.8410419474824242,0.8273657289002557,0.9
zero_day,SVM,0.45131041666666666,0.7665682649525938,0.7811071609954292,1.0
zero_day,LSTM,0.6113178240740742,0.8274546848396098,0.6937159821870361,0.9183333333333333
zero_day,GRU,0.6225979166666666,0.8214486072085803,0.7877744296168747,0.7425
zero_day,TemporalCNN,0.634015162037037,0.8442297757371318,0.7634276342763427,0.8975
zero_day,IsolationForest,0.6859442129629629,0.8896288434400481,0.37435086927071576,0.9991666666666666
zero_day,OneClassSVM,0.5533333333333333,0.7972791171664335,0.43902439024390244,1.0
zero_day,Autoencoder,0.6104462962962963,0.8263705218370136,0.03171131765992345,0.9008333333333334
zero_day,QuantumKernel,0.44475524475524486,0.7190139707649756,0.8764044943820225,0.9272727272727272
zero_day,VQC,0.464009324009324,0.7630142711407847,0.5723684210526315,1.0
zero_day,Q-TRACE,0.6764807870370371,0.8565286341339561,0.04929577464788732,0.8275
physical_shift,XGBoost,0.6380491898148148,0.8454457308701218,0.6755052546483428,0.9991666666666666
physical_shift,RandomForest,0.6083402777777778,0.857407140471498,0.6761399125546533,0.9966666666666667
physical_shift,LogisticRegression,0.7744613425925926,0.920242495873163,0.613785136696188,0.8883333333333333
physical_shift,SVM,0.6737775462962963,0.8576787182829102,0.5512167515563101,0.6
physical_shift,LSTM,0.8358787037037037,0.943513363950546,0.4877126654064272,0.6566666666666666
physical_shift,GRU,0.7295407407407408,0.9115287949123738,0.4745762711864407,0.9991666666666666
physical_shift,TemporalCNN,0.8362368055555556,0.9426154772795807,0.661474370585039,0.7025
physical_shift,IsolationForest,0.6488909722222223,0.8649127049686323,0.7201248049921997,0.9933333333333333
physical_shift,OneClassSVM,0.6333333333333333,0.8653481673823107,0.5777777777777777,1.0
physical_shift,Autoencoder,0.7446601851851852,0.9143409181293356,0.11221814368117462,0.8791666666666667
physical_shift,QuantumKernel,0.44969696969696965,0.7468065686883839,0.805,0.8909090909090909
physical_shift,VQC,0.7017715617715619,0.9041954262721764,0.6283783783783784,0.9818181818181818
physical_shift,Q-TRACE,0.5606631944444445,0.8249086709580427,0.11122770199370409,0.99
compositional,XGBoost,0.6240815104166667,0.8242120449969257,0.888630415818552,0.7691666666666667
compositional,RandomForest,0.7236493055555555,0.9022635184915959,0.879914154716613,0.8375
compositional,LogisticRegression,0.7259006944444445,0.9244285944519074,0.8583265966046888,0.8916666666666667
compositional,SVM,0.6848500000000001,0.9094623991726409,0.880248833592535,0.8
compositional,LSTM,0.6231361979166666,0.862706169299652,0.7920393559928444,0.9983333333333333
compositional,GRU,0.606765625,0.8251007790280337,0.8251895534962089,0.8991666666666667
compositional,TemporalCNN,0.69449296875,0.9083369647291191,0.8653069267908168,0.845
compositional,IsolationForest,0.7843822916666667,0.9425609512152996,0.541033434650456,0.745
compositional,OneClassSVM,0.3625,0.7357412559716454,0.34615384615384615,0.9
compositional,Autoencoder,0.7629874999999999,0.9390266958190245,0.043611167719584266,0.9641666666666666
compositional,QuantumKernel,0.5056266548984996,0.8324022209348381,0.8883928571428571,0.9545454545454546
compositional,VQC,0.5500330979699912,0.8423800358224585,0.6424242424242425,0.8636363636363636
compositional,Q-TRACE,0.7549942708333333,0.923316949773221,0.08459696727853153,0.855
