,SKRR,attack_detected_rate,attack_missed_rate,normal_gated_rate,n_attack_windows,n_normal_windows,seed
Q-TRACE (top-decile),0.9259805925356196,0.1316666666666666,0.8683333333333334,0.005,3600.0,1200.0,42
Q-TRACE (50% recall target),0.6573475985598376,0.5,0.5,0.1616666666666666,3600.0,1200.0,42
Q-TRACE (80% recall target),0.3570935608460539,0.8,0.1999999999999999,0.45,3600.0,1200.0,42
Q-TRACE (95% recall target),0.0978193131735639,0.95,0.05,0.85,3600.0,1200.0,42
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0,42
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0,42
Q-TRACE (top-decile),0.9296484428791636,0.1244444444444444,0.8755555555555555,0.0266666666666666,3600.0,1200.0,43
Q-TRACE (50% recall target),0.6310377238579746,0.5,0.5,0.2766666666666666,3600.0,1200.0,43
Q-TRACE (80% recall target),0.3049547329300953,0.8,0.1999999999999999,0.5625,3600.0,1200.0,43
Q-TRACE (95% recall target),0.0989251427811452,0.95,0.05,0.8275,3600.0,1200.0,43
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0,43
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0,43
Q-TRACE (top-decile),0.9155440490113196,0.1125,0.8875,0.0625,3600.0,1200.0,44
Q-TRACE (50% recall target),0.5755375953679669,0.5,0.5,0.3266666666666666,3600.0,1200.0,44
Q-TRACE (80% recall target),0.3155859733854599,0.8,0.1999999999999999,0.5808333333333333,3600.0,1200.0,44
Q-TRACE (95% recall target),0.0948696678464917,0.95,0.05,0.8675,3600.0,1200.0,44
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0,44
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0,44
Q-TRACE (top-decile),0.9241535292997414,0.1325,0.8674999999999999,0.0025,3600.0,1200.0,45
Q-TRACE (50% recall target),0.5937629839264799,0.5,0.5,0.185,3600.0,1200.0,45
Q-TRACE (80% recall target),0.1958694574871535,0.8,0.1999999999999999,0.7791666666666667,3600.0,1200.0,45
Q-TRACE (95% recall target),0.0421803612946843,0.95,0.05,0.9616666666666668,3600.0,1200.0,45
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0,45
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0,45
Q-TRACE (top-decile),0.8735367868395816,0.1330555555555555,0.8669444444444444,0.0008333333333333,3600.0,1200.0,46
Q-TRACE (50% recall target),0.5102352851799365,0.5,0.5,0.2933333333333333,3600.0,1200.0,46
Q-TRACE (80% recall target),0.2158891611824941,0.8,0.1999999999999999,0.7225,3600.0,1200.0,46
Q-TRACE (95% recall target),0.052514098532926,0.95,0.05,0.9333333333333332,3600.0,1200.0,46
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0,46
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0,46
